user_id,name,age,location,signup_date,new_feature_flag
1,MmhfM,30.0,Mumbai,bad_date,0.0
2,vblAbkHCl,35.0,Mumbai,bad_date,1.0
3,Nivol,35.0,NY,2020-01-01,1.0
4,efSFP,25.0,Mumbai,2020-01-01,1.0
5,gVepGUsjd,30.0,Mumbai,2022-05-10,0.0
6,ZSTtxRi,30.0,London,2021-13-40,0.0
7,nWHFiLitZH,-1.0,Tokyo,2022-05-10,1.0
8,qNcQPudVDL,18.0,Delhi,bad_date,0.0
9,uVxnmDnE,25.0,London,2022-05-10,0.0
10,sZhzNShi,18.0,NY,2021-13-40,1.0
11,dtZBYSaLJ,-1.0,London,bad_date,1.0
12,NrpiaLL,18.0,Delhi,2022-05-10,1.0
13,AfGRAk,35.0,Mumbai,bad_date,1.0
14,COBaqb,40.0,London,2020-01-01,1.0
15,mmDeMQY,40.0,Mumbai,2020-01-01,1.0
16,gyCnTw,40.0,NY,2020-01-01,0.0
17,NJLuItUxm,18.0,Tokyo,bad_date,0.0
18,ElldG,-1.0,London,2022-05-10,0.0
19,SdmIl,-1.0,Mumbai,bad_date,0.0
20,DmyveIsvS,35.0,Delhi,2022-05-10,0.0
21,ZfurSmjxvo,35.0,Tokyo,bad_date,0.0
22,xSCcZ,40.0,Bangalore,bad_date,1.0
23,WSizl,30.0,Bangalore,2021-13-40,0.0
24,iauWO,35.0,London,bad_date,0.0
25,XZCLipYECM,106.0,NY,bad_date,1.0
26,yVBcASddS,30.0,NY,2020-01-01,0.0
27,mEGvEBWkL,35.0,Delhi,2020-01-01,0.0
28,gHxWWaGD,30.0,Bangalore,bad_date,0.0
29,lnWTTtiRK,106.0,Delhi,2021-13-40,0.0
30,BICWfTnUMi,30.0,Mumbai,2021-13-40,0.0
31,LkGnzV,106.0,Delhi,2022-05-10,1.0
32,GRcrg,35.0,Delhi,2022-05-10,0.0
33,MCwadT,18.0,Delhi,2022-05-10,1.0
34,btCwcsWYc,30.0,Mumbai,2022-05-10,0.0
35,mfOTvGiWSY,18.0,Delhi,bad_date,0.0
36,bMrWPSQn,30.0,Delhi,bad_date,0.0
37,tcykV,30.0,Mumbai,2020-01-01,1.0
38,lIuodO,106.0,Mumbai,2022-05-10,0.0
39,uZBWfYjYn,106.0,Mumbai,2022-05-10,0.0
40,rOwZgUjc,106.0,London,2021-13-40,1.0
41,WBLMIsdIr,-1.0,London,2021-13-40,1.0
42,Lpqvu,106.0,Tokyo,bad_date,1.0
43,jItMjD,30.0,Mumbai,2021-13-40,0.0
44,pkOFq,106.0,NY,bad_date,0.0
45,lyUPieAGrQ,40.0,Bangalore,2022-05-10,0.0
46,qPhcZFNxUD,18.0,NY,2022-05-10,1.0
47,zmIaNOfw,106.0,Mumbai,2021-13-40,1.0
48,AcmSxPIZEX,18.0,Mumbai,2021-13-40,1.0
49,QUwVxiSxN,18.0,Delhi,bad_date,1.0
50,NBGoeoo,35.0,Bangalore,2022-05-10,1.0
51,ehthlvryd,18.0,Delhi,bad_date,0.0
52,VEKSNtas,35.0,Bangalore,2021-13-40,0.0
53,BMPUzozu,-1.0,Tokyo,2020-01-01,0.0
54,LRVYBVEI,40.0,Bangalore,2020-01-01,1.0
55,hyctlqNt,18.0,Delhi,2020-01-01,0.0
56,nebCZsHO,18.0,London,bad_date,0.0
57,Xkbhg,106.0,NY,2020-01-01,0.0
58,XyntFYLOi,35.0,London,2021-13-40,0.0
59,bqJXuLdJG,30.0,London,2021-13-40,1.0
60,SFgZOsw,40.0,London,bad_date,0.0
61,HavzwsUxh,40.0,Mumbai,2020-01-01,0.0
62,YoQBzwMnS,40.0,Mumbai,bad_date,0.0
63,oxNDI,18.0,Delhi,bad_date,1.0
